Row_No,Name,Change,Change (%),Price (Intraday),YTD Return (%),3-Mo Return (%),1-Year Return (%),3-Year Return (%),5-Year Return (%),Net Expense Ratio (%),Gross Expense Ratio (%),Net Assets,50 Day Avg,200 Day Avg,52 Week Range,Exchange,Funds by Category,Funds by Company,52 Week Low,52 Week High
1,Vanguard Morn Total Stk Mkt Idx Instl,3.34,1.83,185.36,10.51,4.28,17.13,26.02,25.73,0.04,0.04,2298000000000.0,179.2,168.25,150.52 182.22,Nasdaq,Large Blend,Vanguard,150.52,182.22
2,Vanguard Morn Total Stk Mkt Idx Instl Pl,6.25,1.83,347.7,10.51,4.28,17.15,26.03,25.74,0.04,0.04,2298000000000.0,336.15,315.61,282.36 341.82,Nasdaq,Large Blend,Vanguard,282.36,341.82
3,Vanguard Morn Total Stk Mkt Idx InstlSel,6.56,1.83,364.95,10.52,4.28,17.16,26.05,25.75,0.04,0.04,2298000000000.0,352.83,331.27,296.37 358.78,Nasdaq,Large Blend,Vanguard,296.37,358.78
4,Vanguard Morn Total Stk Mkt Idx Admiral,3.34,1.84,185.33,10.5,4.28,17.12,26.01,25.71,0.04,0.04,2298000000000.0,179.17,168.22,150.50 182.18,Nasdaq,Large Blend,Vanguard,150.5,182.18
5,Vanguard Morn Total Stk Mkt Idx Investor,3.34,1.84,185.29,10.48,4.27,17.01,25.89,25.59,0.04,0.04,2298000000000.0,179.13,168.18,150.46 182.14,Nasdaq,Large Blend,Vanguard,150.46,182.14
6,Vanguard 500 Index Fund,6.66,1.79,378.77,10.13,4.19,17.86,26.28,28.7,0.04,0.04,1671000000000.0,366.17,344.34,308.43 373.03,Nasdaq,Large Blend,Vanguard,308.43,373.03
7,Vanguard 500 Index Fund,12.56,1.79,714.35,10.11,4.18,17.83,26.24,28.66,0.04,0.04,1671000000000.0,690.58,649.42,581.73 703.50,Nasdaq,Large Blend,Vanguard,581.73,703.5
8,Vanguard 500 Index Fund,12.56,1.79,714.44,10.05,4.16,17.71,26.11,28.53,0.04,0.04,1671000000000.0,690.65,649.48,581.78 703.53,Nasdaq,Large Blend,Vanguard,581.78,703.53
9,Fidelity 500 Index,4.73,1.79,268.96,10.13,4.19,17.86,26.29,28.69,0.01,0.01,827509000000.0,260.1,244.47,218.92 264.80,Nasdaq,Large Blend,Fidelity Investments,218.92,264.8
10,Vanguard Total Intl Stock Index Inv,0.39,1.42,27.77,12.81,2.53,32.05,15.44,8.61,0.17,0.17,650318000000.0,27.24,25.7,22.23 27.93,Nasdaq,Foreign Large Blend,Vanguard,22.23,27.93
11,Vanguard Total Intl Stock Index Admiral,0.65,1.42,46.45,12.86,2.55,32.18,15.52,8.62,0.17,0.17,650318000000.0,45.57,42.99,37.19 46.73,Nasdaq,Foreign Large Blend,Vanguard,37.19,46.73
12,Vanguard Total Intl Stock Idx Instl Sel,2.74,1.42,195.7,12.88,2.55,32.25,15.56,8.7,0.17,0.17,650318000000.0,191.99,181.14,156.69 196.90,Nasdaq,Foreign Large Blend,Vanguard,156.69,196.9
13,Vanguard Total Intl Stock Idx InstlPls,2.6,1.42,185.79,12.88,2.55,32.25,15.54,8.68,0.17,0.17,650318000000.0,182.27,171.97,148.76 186.94,Nasdaq,Foreign Large Blend,Vanguard,148.76,186.94
14,Vanguard Total Intl Stock Index I,2.6,1.42,185.75,12.87,2.56,32.23,15.53,8.68,0.17,0.17,650318000000.0,182.22,171.93,148.72 186.89,Nasdaq,Foreign Large Blend,Vanguard,148.72,186.89
15,Vanguard Total Bond Market Index Fund,0.03,0.32,9.54,-0.64,-0.78,7.03,5.6,-1.77,0.03,0.03,397863000000.0,9.6,9.72,9.49 9.88,Nasdaq,Intermediate Core Bond,Vanguard,9.49,9.88
16,Vanguard Total Bond Market Index Fund,0.03,0.32,9.54,-0.56,-0.74,7.17,5.72,-1.65,0.03,0.03,397863000000.0,9.6,9.72,9.49 9.88,Nasdaq,Intermediate Core Bond,Vanguard,9.49,9.88
17,Vanguard Total Bond Market Index Fund,0.03,0.32,9.54,-0.58,-0.75,7.15,5.7,-1.67,0.03,0.03,397863000000.0,9.6,9.72,9.49 9.88,Nasdaq,Intermediate Core Bond,Vanguard,9.49,9.88
18,Vanguard Total Bond Market Idx Instl Sel,0.03,0.32,9.54,-0.55,-0.74,7.18,5.74,-1.63,0.03,0.03,397863000000.0,9.6,9.72,9.49 9.88,Nasdaq,Intermediate Core Bond,Vanguard,9.49,9.88
19,Vanguard Total Bond Market II Idx Inv,0.04,0.43,9.41,-0.72,-0.77,7.09,5.58,-1.73,0.02,0.02,386563000000.0,9.46,9.58,9.35 9.74,Nasdaq,Intermediate Core Bond,Vanguard,9.35,9.74
